@relation 5_partie1_question_2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R39

@attribute duration numeric
@attribute actor_3_facebook_likes numeric
@attribute actor_1_facebook_likes numeric
@attribute gross numeric
@attribute facenumber_in_poster numeric
@attribute country {usa,uk,'new zealand',canada,australia,belgium,japan,germany,china,france,'new line',mexico,spain,'hong kong','czech republic',india,'soviet union','south korea',peru,italy,russia,aruba,denmark,libya,ireland,'south africa',iceland,switzerland,romania,'west germany',chile,netherlands,hungary,panama,greece,sweden,norway,taiwan,'official site',cambodia,thailand,slovakia,bulgaria,iran,poland,georgia,turkey,nigeria,brazil,finland,bahamas,argentina,colombia,israel,egypt,kyrgyzstan,indonesia,pakistan,slovenia,afghanistan,'dominican republic',cameroon,'united arab emirates',kenya,philippines}
@attribute budget numeric
@attribute title_year numeric
@attribute actor_2_facebook_likes numeric
@attribute imdb_score numeric
@attribute movie_facebook_likes numeric
@attribute Genre_Film-Noir {FALSE,TRUE}
@attribute Genre_Action {TRUE,FALSE}
@attribute Genre_War {FALSE,TRUE}
@attribute Genre_History {FALSE,TRUE}
@attribute Genre_Western {FALSE,TRUE}
@attribute Genre_Documentary {FALSE,TRUE}
@attribute Genre_Sport {FALSE,TRUE}
@attribute Genre_Thriller {FALSE,TRUE}
@attribute Genre_News {FALSE,TRUE}
@attribute Genre_Biography {FALSE,TRUE}
@attribute Genre_Comedy {FALSE,TRUE}
@attribute Genre_Mystery {FALSE,TRUE}
@attribute Genre_Musical {FALSE,TRUE}
@attribute Genre_Short {FALSE,TRUE}
@attribute Genre_Adventure {TRUE,FALSE}
@attribute Genre_Horror {FALSE,TRUE}
@attribute Genre_Romance {FALSE,TRUE}
@attribute Genre_Sci-Fi {TRUE,FALSE}
@attribute Genre_Drama {FALSE,TRUE}
@attribute Genre_Music {FALSE,TRUE}
@attribute Genre_Game-Show {FALSE,TRUE}
@attribute Genre_Crime {FALSE,TRUE}
@attribute Genre_Fantasy {TRUE,FALSE}
@attribute Genre_Animation {FALSE,TRUE}
@attribute Genre_Family {FALSE,TRUE}
@attribute Genre_Reality-TV {FALSE,TRUE}
@attribute ratio_rentabilite numeric
@attribute ratio_rentabilite_disc {TRES_RENTABLE,PEU_RENTABLE,RENTABLE,PAS_RENTABLE}

@data
178,855,1000,760505847,0,usa,237000000,2009,936,7.9,33000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3.208885,TRES_RENTABLE
169,1000,40000,309404152,0,usa,300000000,2007,5000,7.1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.031347,PEU_RENTABLE
148,161,11000,200074175,1,uk,245000000,2015,393,6.8,85000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.816629,PEU_RENTABLE
164,23000,27000,448130642,0,usa,250000000,2012,23000,8.5,164000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.792523,RENTABLE
?,?,131,?,0,?,?,?,12,7.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,?,?
132,530,640,73058679,1,usa,263700000,2012,632,6.6,24000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.277052,PAS_RENTABLE
156,4000,24000,336530303,0,usa,258000000,2007,11000,6.2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.304381,RENTABLE
100,284,799,200807262,1,usa,260000000,2010,553,7.8,29000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.772336,PEU_RENTABLE
141,19000,26000,458991599,4,usa,250000000,2015,21000,7.5,118000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.835966,RENTABLE
153,10000,25000,301956980,3,uk,250000000,2009,11000,7.5,10000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1.207828,RENTABLE
183,2000,15000,330249062,0,usa,250000000,2016,4000,6.9,197000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.320996,RENTABLE
169,903,18000,200069408,0,usa,209000000,2006,10000,6.1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.95727,PEU_RENTABLE
106,393,451,168368427,1,uk,200000000,2008,412,6.7,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.841842,PEU_RENTABLE
151,1000,40000,423032628,2,usa,225000000,2006,5000,7.3,5000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.880145,RENTABLE
